forecast_date,target,target_end_date,location,type,quantile,value
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.025,3721
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.1,4405
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.25,4860
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.5,5369
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.75,5986
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.9,6617
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.975,8263
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.025,293
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.1,384
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.25,454
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.5,566
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.75,699
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.9,862
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.975,990
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.025,1372
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.1,1879
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.25,2114
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.5,2448
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.75,2927
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.9,3799
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.975,4858
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.025,3253
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.1,3873
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.25,4220
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.5,4615
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.75,5072
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.9,5511
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.975,6658
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.025,15759
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.1,17027
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.25,18931
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.5,21284
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.75,24060
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.9,27699
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.975,29602
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.025,1290
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.1,1750
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.25,1964
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.5,2219
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.75,2550
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.9,2902
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.975,3414
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.025,386
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.1,486
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.25,598
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.5,767
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.75,1057
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.9,1381
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.975,1514
2020-09-14,1 wk ahead inc case,2020-09-19,10,quantile,0.025,324
2020-09-14,1 wk ahead inc case,2020-09-19,10,quantile,0.1,457
2020-09-14,1 wk ahead inc case,2020-09-19,10,quantile,0.25,519
2020-09-14,1 wk ahead inc case,2020-09-19,10,quantile,0.5,617
2020-09-14,1 wk ahead inc case,2020-09-19,10,quantile,0.75,745
