forecast_date,target,target_end_date,location,type,quantile,value
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.01,2
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.025,3
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.05,3
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.1,4
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.15,5
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.2,6
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.25,6
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.3,6
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.35,7
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.4,7
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.45,7
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.5,8
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.55,9
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.6,9
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.65,9
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.7,10
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.75,10
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.8,11
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.85,12
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.9,14
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.95,15
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.975,16
2020-07-13,1 wk ahead inc death,2020-07-18,11,quantile,0.99,17
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.01,63
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.025,68
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.05,72
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.1,78
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.15,86
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.2,91
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.25,95
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.3,101
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.35,104
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.4,107
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.45,110
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.5,114
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.55,117
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.6,120
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.65,123
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.7,126
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.75,130
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.8,135
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.85,140
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.9,146
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.95,156
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.975,165
2020-07-13,1 wk ahead inc death,2020-07-18,01,quantile,0.99,175
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.01,0
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.025,0
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.05,0
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.1,0
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.15,1
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.2,1
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.25,1
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.3,1
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.35,1
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.4,1
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.45,1
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.5,2
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.55,2
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.6,3
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.65,3
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.7,3
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.75,3
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.8,3
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.85,4
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.9,4
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.95,4
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.975,5
2020-07-13,1 wk ahead inc death,2020-07-18,02,quantile,0.99,5
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.01,234
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.025,247
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.05,262
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.1,277
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.15,293
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.2,304
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.25,330
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.3,348
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.35,358
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.4,369
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.45,378
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.5,388
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.55,397
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.6,405
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.65,415
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.7,426
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.75,436
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.8,449
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.85,462
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.9,467
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.95,494
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.975,515
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.99,539
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.01,23
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.025,25
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.05,26
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.1,29
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.15,33
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.2,34
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.25,36
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.3,37
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.35,38
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.4,39
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.45,40
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.5,42
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.55,43
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.6,44
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.65,45
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.7,46
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.75,48
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.8,49
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.85,51
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.9,53
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.95,58
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.975,61
2020-07-13,1 wk ahead inc death,2020-07-18,05,quantile,0.99,65
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.01,399
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.025,420
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.05,440
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.1,471
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.15,517
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.2,537
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.25,556
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.3,572
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.35,588
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.4,610
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.45,626
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.5,644
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.55,658
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.6,674
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.65,691
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.7,709
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.75,726
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.8,748
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.85,771
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.9,816
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.95,863
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.975,900
2020-07-13,1 wk ahead inc death,2020-07-18,06,quantile,0.99,945
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.01,16
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.025,17
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.05,19
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.1,22
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.15,23
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.2,25
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.25,27
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.3,28
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.35,29
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.4,30
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.45,31
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.5,33
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.55,35
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.6,36
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.65,38
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.7,39
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.75,41
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.8,44
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.85,47
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.9,49
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.95,55
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.975,61
2020-07-13,1 wk ahead inc death,2020-07-18,08,quantile,0.99,68
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.01,5
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.025,6
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.05,8
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.1,9
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.15,13
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.2,14
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.25,15
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.3,16
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.35,17
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.4,18
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.45,18
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.5,19
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.55,20
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.6,21
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.65,22
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.7,23
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.75,23
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.8,24
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.85,25
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.9,32
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.95,36
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.975,39
2020-07-13,1 wk ahead inc death,2020-07-18,09,quantile,0.99,42
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.01,3
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.025,3
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.05,4
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.1,4
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.15,5
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.2,6
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.25,6
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.3,8
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.35,9
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.4,10
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.45,11
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.5,12
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.55,13
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.6,13
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.65,14
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.7,15
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.75,17
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.8,18
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.85,20
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.9,23
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.95,25
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.975,28
2020-07-13,1 wk ahead inc death,2020-07-18,10,quantile,0.99,30
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.01,371
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.025,397
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.05,420
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.1,451
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.15,486
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.2,509
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.25,527
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.3,545
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.35,560
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.4,578
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.45,592
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.5,643
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.55,671
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.6,689
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.65,706
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.7,723
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.75,740
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.8,760
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.85,785
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.9,801
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.95,849
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.975,888
2020-07-13,1 wk ahead inc death,2020-07-18,12,quantile,0.99,938
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.01,92
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.025,97
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.05,102
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.1,108
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.15,131
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.2,136
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.25,143
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.3,149
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.35,159
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.4,167
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.45,177
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.5,187
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.55,199
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.6,208
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.65,221
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.7,230
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.75,240
2020-07-13,1 wk ahead inc death,2020-07-18,13,quantile,0.8,250
