forecast_date,target,target_end_date,location,type,quantile,value
2021-01-18,1 wk ahead inc case,2021-01-23,11,quantile,0.025,1209
2021-01-18,1 wk ahead inc case,2021-01-23,01,quantile,0.025,12856
2021-01-18,1 wk ahead inc case,2021-01-23,02,quantile,0.025,822
2021-01-18,1 wk ahead inc case,2021-01-23,04,quantile,0.025,35161
2021-01-18,1 wk ahead inc case,2021-01-23,05,quantile,0.025,9980
2021-01-18,1 wk ahead inc case,2021-01-23,06,quantile,0.025,171998
2021-01-18,1 wk ahead inc case,2021-01-23,08,quantile,0.025,8962
2021-01-18,1 wk ahead inc case,2021-01-23,09,quantile,0.025,7434
2021-01-18,1 wk ahead inc case,2021-01-23,10,quantile,0.025,3170
2021-01-18,1 wk ahead inc case,2021-01-23,12,quantile,0.025,61137
2021-01-18,1 wk ahead inc case,2021-01-23,13,quantile,0.025,38373
2021-01-18,1 wk ahead inc case,2021-01-23,15,quantile,0.025,532
2021-01-18,1 wk ahead inc case,2021-01-23,16,quantile,0.025,3012
2021-01-18,1 wk ahead inc case,2021-01-23,17,quantile,0.025,25045
2021-01-18,1 wk ahead inc case,2021-01-23,18,quantile,0.025,17879
2021-01-18,1 wk ahead inc case,2021-01-23,19,quantile,0.025,4382
2021-01-18,1 wk ahead inc case,2021-01-23,20,quantile,0.025,5093
2021-01-18,1 wk ahead inc case,2021-01-23,21,quantile,0.025,13175
2021-01-18,1 wk ahead inc case,2021-01-23,22,quantile,0.025,12349
2021-01-18,1 wk ahead inc case,2021-01-23,23,quantile,0.025,2287
2021-01-18,1 wk ahead inc case,2021-01-23,24,quantile,0.025,13082
2021-01-18,1 wk ahead inc case,2021-01-23,25,quantile,0.025,23018
2021-01-18,1 wk ahead inc case,2021-01-23,26,quantile,0.025,8706
2021-01-18,1 wk ahead inc case,2021-01-23,27,quantile,0.025,5509
2021-01-18,1 wk ahead inc case,2021-01-23,28,quantile,0.025,8514
2021-01-18,1 wk ahead inc case,2021-01-23,29,quantile,0.025,9154
2021-01-18,1 wk ahead inc case,2021-01-23,30,quantile,0.025,1701
2021-01-18,1 wk ahead inc case,2021-01-23,31,quantile,0.025,3186
2021-01-18,1 wk ahead inc case,2021-01-23,32,quantile,0.025,8292
2021-01-18,1 wk ahead inc case,2021-01-23,33,quantile,0.025,2977
2021-01-18,1 wk ahead inc case,2021-01-23,34,quantile,0.025,27437
2021-01-18,1 wk ahead inc case,2021-01-23,35,quantile,0.025,4687
2021-01-18,1 wk ahead inc case,2021-01-23,36,quantile,0.025,71609
2021-01-18,1 wk ahead inc case,2021-01-23,37,quantile,0.025,31728
2021-01-18,1 wk ahead inc case,2021-01-23,38,quantile,0.025,597
2021-01-18,1 wk ahead inc case,2021-01-23,39,quantile,0.025,30854
2021-01-18,1 wk ahead inc case,2021-01-23,40,quantile,0.025,14588
2021-01-18,1 wk ahead inc case,2021-01-23,41,quantile,0.025,4218
2021-01-18,1 wk ahead inc case,2021-01-23,42,quantile,0.025,30619
2021-01-18,1 wk ahead inc case,2021-01-23,44,quantile,0.025,3052
2021-01-18,1 wk ahead inc case,2021-01-23,45,quantile,0.025,20548
2021-01-18,1 wk ahead inc case,2021-01-23,46,quantile,0.025,1127
2021-01-18,1 wk ahead inc case,2021-01-23,47,quantile,0.025,18491
2021-01-18,1 wk ahead inc case,2021-01-23,48,quantile,0.025,96456
2021-01-18,1 wk ahead inc case,2021-01-23,49,quantile,0.025,8452
2021-01-18,1 wk ahead inc case,2021-01-23,50,quantile,0.025,615
2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.025,27290
2021-01-18,1 wk ahead inc case,2021-01-23,53,quantile,0.025,8098
2021-01-18,1 wk ahead inc case,2021-01-23,54,quantile,0.025,4854
2021-01-18,1 wk ahead inc case,2021-01-23,55,quantile,0.025,10688
2021-01-18,1 wk ahead inc case,2021-01-23,56,quantile,0.025,1098
2021-01-18,1 wk ahead inc case,2021-01-23,72,quantile,0.025,1847
2021-01-18,1 wk ahead inc case,2021-01-23,60,quantile,0.025,0
2021-01-18,1 wk ahead inc case,2021-01-23,66,quantile,0.025,9
2021-01-18,1 wk ahead inc case,2021-01-23,69,quantile,0.025,0
2021-01-18,1 wk ahead inc case,2021-01-23,78,quantile,0.025,61
2021-01-18,2 wk ahead inc case,2021-01-30,11,quantile,0.025,1022
2021-01-18,2 wk ahead inc case,2021-01-30,01,quantile,0.025,10566
2021-01-18,2 wk ahead inc case,2021-01-30,02,quantile,0.025,608
2021-01-18,2 wk ahead inc case,2021-01-30,04,quantile,0.025,31807
2021-01-18,2 wk ahead inc case,2021-01-30,05,quantile,0.025,8875
2021-01-18,2 wk ahead inc case,2021-01-30,06,quantile,0.025,147235
2021-01-18,2 wk ahead inc case,2021-01-30,08,quantile,0.025,7594
2021-01-18,2 wk ahead inc case,2021-01-30,09,quantile,0.025,6605
2021-01-18,2 wk ahead inc case,2021-01-30,10,quantile,0.025,2552
2021-01-18,2 wk ahead inc case,2021-01-30,12,quantile,0.025,52339
2021-01-18,2 wk ahead inc case,2021-01-30,13,quantile,0.025,32150
2021-01-18,2 wk ahead inc case,2021-01-30,15,quantile,0.025,416
2021-01-18,2 wk ahead inc case,2021-01-30,16,quantile,0.025,2583
2021-01-18,2 wk ahead inc case,2021-01-30,17,quantile,0.025,21869
2021-01-18,2 wk ahead inc case,2021-01-30,18,quantile,0.025,15044
2021-01-18,2 wk ahead inc case,2021-01-30,19,quantile,0.025,3765
2021-01-18,2 wk ahead inc case,2021-01-30,20,quantile,0.025,4434
2021-01-18,2 wk ahead inc case,2021-01-30,21,quantile,0.025,10937
2021-01-18,2 wk ahead inc case,2021-01-30,22,quantile,0.025,9870
2021-01-18,2 wk ahead inc case,2021-01-30,23,quantile,0.025,2032
2021-01-18,2 wk ahead inc case,2021-01-30,24,quantile,0.025,11298
2021-01-18,2 wk ahead inc case,2021-01-30,25,quantile,0.025,19642
2021-01-18,2 wk ahead inc case,2021-01-30,26,quantile,0.025,7538
2021-01-18,2 wk ahead inc case,2021-01-30,27,quantile,0.025,4459
2021-01-18,2 wk ahead inc case,2021-01-30,28,quantile,0.025,7298
2021-01-18,2 wk ahead inc case,2021-01-30,29,quantile,0.025,7464
2021-01-18,2 wk ahead inc case,2021-01-30,30,quantile,0.025,1517
2021-01-18,2 wk ahead inc case,2021-01-30,31,quantile,0.025,2418
2021-01-18,2 wk ahead inc case,2021-01-30,32,quantile,0.025,7569
2021-01-18,2 wk ahead inc case,2021-01-30,33,quantile,0.025,2362
2021-01-18,2 wk ahead inc case,2021-01-30,34,quantile,0.025,25072
2021-01-18,2 wk ahead inc case,2021-01-30,35,quantile,0.025,4075
2021-01-18,2 wk ahead inc case,2021-01-30,36,quantile,0.025,63065
2021-01-18,2 wk ahead inc case,2021-01-30,37,quantile,0.025,26632
2021-01-18,2 wk ahead inc case,2021-01-30,38,quantile,0.025,489
2021-01-18,2 wk ahead inc case,2021-01-30,39,quantile,0.025,25701
2021-01-18,2 wk ahead inc case,2021-01-30,40,quantile,0.025,12179
2021-01-18,2 wk ahead inc case,2021-01-30,41,quantile,0.025,3515
2021-01-18,2 wk ahead inc case,2021-01-30,42,quantile,0.025,26442
2021-01-18,2 wk ahead inc case,2021-01-30,44,quantile,0.025,3009
2021-01-18,2 wk ahead inc case,2021-01-30,45,quantile,0.025,17508
2021-01-18,2 wk ahead inc case,2021-01-30,46,quantile,0.025,904
2021-01-18,2 wk ahead inc case,2021-01-30,47,quantile,0.025,14580
2021-01-18,2 wk ahead inc case,2021-01-30,48,quantile,0.025,87968
2021-01-18,2 wk ahead inc case,2021-01-30,49,quantile,0.025,7115
2021-01-18,2 wk ahead inc case,2021-01-30,50,quantile,0.025,522
2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.025,22058
2021-01-18,2 wk ahead inc case,2021-01-30,53,quantile,0.025,5341
2021-01-18,2 wk ahead inc case,2021-01-30,54,quantile,0.025,4111
2021-01-18,2 wk ahead inc case,2021-01-30,55,quantile,0.025,9056
2021-01-18,2 wk ahead inc case,2021-01-30,56,quantile,0.025,991
2021-01-18,2 wk ahead inc case,2021-01-30,72,quantile,0.025,1301
2021-01-18,2 wk ahead inc case,2021-01-30,60,quantile,0.025,0
2021-01-18,2 wk ahead inc case,2021-01-30,66,quantile,0.025,9
2021-01-18,2 wk ahead inc case,2021-01-30,69,quantile,0.025,0
2021-01-18,2 wk ahead inc case,2021-01-30,78,quantile,0.025,4
2021-01-18,3 wk ahead inc case,2021-02-06,11,quantile,0.025,936
2021-01-18,3 wk ahead inc case,2021-02-06,01,quantile,0.025,9394
2021-01-18,3 wk ahead inc case,2021-02-06,02,quantile,0.025,516
2021-01-18,3 wk ahead inc case,2021-02-06,04,quantile,0.025,32495
2021-01-18,3 wk ahead inc case,2021-02-06,05,quantile,0.025,8120
2021-01-18,3 wk ahead inc case,2021-02-06,06,quantile,0.025,138673
2021-01-18,3 wk ahead inc case,2021-02-06,08,quantile,0.025,6446
2021-01-18,3 wk ahead inc case,2021-02-06,09,quantile,0.025,5900
2021-01-18,3 wk ahead inc case,2021-02-06,10,quantile,0.025,2274
2021-01-18,3 wk ahead inc case,2021-02-06,12,quantile,0.025,51666
2021-01-18,3 wk ahead inc case,2021-02-06,13,quantile,0.025,28889
2021-01-18,3 wk ahead inc case,2021-02-06,15,quantile,0.025,334
2021-01-18,3 wk ahead inc case,2021-02-06,16,quantile,0.025,2238
2021-01-18,3 wk ahead inc case,2021-02-06,17,quantile,0.025,19307
2021-01-18,3 wk ahead inc case,2021-02-06,18,quantile,0.025,13253
2021-01-18,3 wk ahead inc case,2021-02-06,19,quantile,0.025,3443
2021-01-18,3 wk ahead inc case,2021-02-06,20,quantile,0.025,3704
