forecast_date,target,target_end_date,location,type,quantile,value
2020-12-28,1 wk ahead inc death,2021-01-02,01,quantile,0.01,145
2020-12-28,1 wk ahead inc death,2021-01-02,02,quantile,0.01,5
2020-12-28,1 wk ahead inc death,2021-01-02,60,quantile,0.01,0
2020-12-28,1 wk ahead inc death,2021-01-02,04,quantile,0.01,346
2020-12-28,1 wk ahead inc death,2021-01-02,05,quantile,0.01,192
2020-12-28,1 wk ahead inc death,2021-01-02,06,quantile,0.01,1340
2020-12-28,1 wk ahead inc death,2021-01-02,08,quantile,0.01,188
2020-12-28,1 wk ahead inc death,2021-01-02,09,quantile,0.01,124
2020-12-28,1 wk ahead inc death,2021-01-02,10,quantile,0.01,18
2020-12-28,1 wk ahead inc death,2021-01-02,11,quantile,0.01,14
2020-12-28,1 wk ahead inc death,2021-01-02,12,quantile,0.01,528
2020-12-28,1 wk ahead inc death,2021-01-02,13,quantile,0.01,195
2020-12-28,1 wk ahead inc death,2021-01-02,66,quantile,0.01,2
2020-12-28,1 wk ahead inc death,2021-01-02,15,quantile,0.01,3
2020-12-28,1 wk ahead inc death,2021-01-02,16,quantile,0.01,54
2020-12-28,1 wk ahead inc death,2021-01-02,17,quantile,0.01,696
2020-12-28,1 wk ahead inc death,2021-01-02,18,quantile,0.01,353
2020-12-28,1 wk ahead inc death,2021-01-02,19,quantile,0.01,131
2020-12-28,1 wk ahead inc death,2021-01-02,20,quantile,0.01,123
2020-12-28,1 wk ahead inc death,2021-01-02,21,quantile,0.01,98
2020-12-28,1 wk ahead inc death,2021-01-02,22,quantile,0.01,145
2020-12-28,1 wk ahead inc death,2021-01-02,23,quantile,0.01,18
2020-12-28,1 wk ahead inc death,2021-01-02,24,quantile,0.01,220
2020-12-28,1 wk ahead inc death,2021-01-02,25,quantile,0.01,269
2020-12-28,1 wk ahead inc death,2021-01-02,26,quantile,0.01,354
2020-12-28,1 wk ahead inc death,2021-01-02,27,quantile,0.01,220
2020-12-28,1 wk ahead inc death,2021-01-02,28,quantile,0.01,148
2020-12-28,1 wk ahead inc death,2021-01-02,29,quantile,0.01,232
2020-12-28,1 wk ahead inc death,2021-01-02,30,quantile,0.01,25
2020-12-28,1 wk ahead inc death,2021-01-02,31,quantile,0.01,57
2020-12-28,1 wk ahead inc death,2021-01-02,32,quantile,0.01,146
2020-12-28,1 wk ahead inc death,2021-01-02,33,quantile,0.01,30
2020-12-28,1 wk ahead inc death,2021-01-02,34,quantile,0.01,301
2020-12-28,1 wk ahead inc death,2021-01-02,35,quantile,0.01,127
2020-12-28,1 wk ahead inc death,2021-01-02,36,quantile,0.01,615
2020-12-28,1 wk ahead inc death,2021-01-02,37,quantile,0.01,215
2020-12-28,1 wk ahead inc death,2021-01-02,38,quantile,0.01,26
2020-12-28,1 wk ahead inc death,2021-01-02,69,quantile,0.01,0
2020-12-28,1 wk ahead inc death,2021-01-02,39,quantile,0.01,341
2020-12-28,1 wk ahead inc death,2021-01-02,40,quantile,0.01,110
2020-12-28,1 wk ahead inc death,2021-01-02,41,quantile,0.01,83
2020-12-28,1 wk ahead inc death,2021-01-02,42,quantile,0.01,892
2020-12-28,1 wk ahead inc death,2021-01-02,72,quantile,0.01,54
2020-12-28,1 wk ahead inc death,2021-01-02,44,quantile,0.01,54
2020-12-28,1 wk ahead inc death,2021-01-02,45,quantile,0.01,152
2020-12-28,1 wk ahead inc death,2021-01-02,46,quantile,0.01,45
2020-12-28,1 wk ahead inc death,2021-01-02,47,quantile,0.01,384
2020-12-28,1 wk ahead inc death,2021-01-02,48,quantile,0.01,1004
2020-12-28,1 wk ahead inc death,2021-01-02,49,quantile,0.01,44
2020-12-28,1 wk ahead inc death,2021-01-02,50,quantile,0.01,7
2020-12-28,1 wk ahead inc death,2021-01-02,78,quantile,0.01,0
2020-12-28,1 wk ahead inc death,2021-01-02,51,quantile,0.01,156
2020-12-28,1 wk ahead inc death,2021-01-02,53,quantile,0.01,72
2020-12-28,1 wk ahead inc death,2021-01-02,54,quantile,0.01,89
2020-12-28,1 wk ahead inc death,2021-01-02,55,quantile,0.01,199
2020-12-28,1 wk ahead inc death,2021-01-02,56,quantile,0.01,11
2020-12-28,2 wk ahead inc death,2021-01-09,01,quantile,0.01,149
2020-12-28,2 wk ahead inc death,2021-01-09,02,quantile,0.01,4
2020-12-28,2 wk ahead inc death,2021-01-09,60,quantile,0.01,0
2020-12-28,2 wk ahead inc death,2021-01-09,04,quantile,0.01,341
2020-12-28,2 wk ahead inc death,2021-01-09,05,quantile,0.01,181
2020-12-28,2 wk ahead inc death,2021-01-09,06,quantile,0.01,1442
2020-12-28,2 wk ahead inc death,2021-01-09,08,quantile,0.01,146
2020-12-28,2 wk ahead inc death,2021-01-09,09,quantile,0.01,109
2020-12-28,2 wk ahead inc death,2021-01-09,10,quantile,0.01,17
2020-12-28,2 wk ahead inc death,2021-01-09,11,quantile,0.01,13
2020-12-28,2 wk ahead inc death,2021-01-09,12,quantile,0.01,530
2020-12-28,2 wk ahead inc death,2021-01-09,13,quantile,0.01,209
2020-12-28,2 wk ahead inc death,2021-01-09,66,quantile,0.01,2
2020-12-28,2 wk ahead inc death,2021-01-09,15,quantile,0.01,4
2020-12-28,2 wk ahead inc death,2021-01-09,16,quantile,0.01,46
2020-12-28,2 wk ahead inc death,2021-01-09,17,quantile,0.01,591
2020-12-28,2 wk ahead inc death,2021-01-09,18,quantile,0.01,309
2020-12-28,2 wk ahead inc death,2021-01-09,19,quantile,0.01,102
2020-12-28,2 wk ahead inc death,2021-01-09,20,quantile,0.01,103
2020-12-28,2 wk ahead inc death,2021-01-09,21,quantile,0.01,82
2020-12-28,2 wk ahead inc death,2021-01-09,22,quantile,0.01,134
2020-12-28,2 wk ahead inc death,2021-01-09,23,quantile,0.01,20
2020-12-28,2 wk ahead inc death,2021-01-09,24,quantile,0.01,203
2020-12-28,2 wk ahead inc death,2021-01-09,25,quantile,0.01,258
2020-12-28,2 wk ahead inc death,2021-01-09,26,quantile,0.01,260
2020-12-28,2 wk ahead inc death,2021-01-09,27,quantile,0.01,165
2020-12-28,2 wk ahead inc death,2021-01-09,28,quantile,0.01,140
2020-12-28,2 wk ahead inc death,2021-01-09,29,quantile,0.01,215
2020-12-28,2 wk ahead inc death,2021-01-09,30,quantile,0.01,20
2020-12-28,2 wk ahead inc death,2021-01-09,31,quantile,0.01,48
2020-12-28,2 wk ahead inc death,2021-01-09,32,quantile,0.01,133
2020-12-28,2 wk ahead inc death,2021-01-09,33,quantile,0.01,29
2020-12-28,2 wk ahead inc death,2021-01-09,34,quantile,0.01,271
2020-12-28,2 wk ahead inc death,2021-01-09,35,quantile,0.01,105
2020-12-28,2 wk ahead inc death,2021-01-09,36,quantile,0.01,583
2020-12-28,2 wk ahead inc death,2021-01-09,37,quantile,0.01,228
2020-12-28,2 wk ahead inc death,2021-01-09,38,quantile,0.01,20
2020-12-28,2 wk ahead inc death,2021-01-09,69,quantile,0.01,0
2020-12-28,2 wk ahead inc death,2021-01-09,39,quantile,0.01,297
2020-12-28,2 wk ahead inc death,2021-01-09,40,quantile,0.01,106
2020-12-28,2 wk ahead inc death,2021-01-09,41,quantile,0.01,76
2020-12-28,2 wk ahead inc death,2021-01-09,42,quantile,0.01,835
2020-12-28,2 wk ahead inc death,2021-01-09,72,quantile,0.01,50
2020-12-28,2 wk ahead inc death,2021-01-09,44,quantile,0.01,49
2020-12-28,2 wk ahead inc death,2021-01-09,45,quantile,0.01,163
2020-12-28,2 wk ahead inc death,2021-01-09,46,quantile,0.01,37
2020-12-28,2 wk ahead inc death,2021-01-09,47,quantile,0.01,401
2020-12-28,2 wk ahead inc death,2021-01-09,48,quantile,0.01,948
2020-12-28,2 wk ahead inc death,2021-01-09,49,quantile,0.01,41
2020-12-28,2 wk ahead inc death,2021-01-09,50,quantile,0.01,5
2020-12-28,2 wk ahead inc death,2021-01-09,78,quantile,0.01,0
2020-12-28,2 wk ahead inc death,2021-01-09,51,quantile,0.01,148
2020-12-28,2 wk ahead inc death,2021-01-09,53,quantile,0.01,65
2020-12-28,2 wk ahead inc death,2021-01-09,54,quantile,0.01,87
2020-12-28,2 wk ahead inc death,2021-01-09,55,quantile,0.01,161
2020-12-28,2 wk ahead inc death,2021-01-09,56,quantile,0.01,9
2020-12-28,3 wk ahead inc death,2021-01-16,01,quantile,0.01,154
2020-12-28,3 wk ahead inc death,2021-01-16,02,quantile,0.01,3
2020-12-28,3 wk ahead inc death,2021-01-16,60,quantile,0.01,0
2020-12-28,3 wk ahead inc death,2021-01-16,04,quantile,0.01,332
2020-12-28,3 wk ahead inc death,2021-01-16,05,quantile,0.01,166
2020-12-28,3 wk ahead inc death,2021-01-16,06,quantile,0.01,1568
2020-12-28,3 wk ahead inc death,2021-01-16,08,quantile,0.01,124
2020-12-28,3 wk ahead inc death,2021-01-16,09,quantile,0.01,100
2020-12-28,3 wk ahead inc death,2021-01-16,10,quantile,0.01,17
2020-12-28,3 wk ahead inc death,2021-01-16,11,quantile,0.01,13
2020-12-28,3 wk ahead inc death,2021-01-16,12,quantile,0.01,522
2020-12-28,3 wk ahead inc death,2021-01-16,13,quantile,0.01,212
2020-12-28,3 wk ahead inc death,2021-01-16,66,quantile,0.01,1
2020-12-28,3 wk ahead inc death,2021-01-16,15,quantile,0.01,4
2020-12-28,3 wk ahead inc death,2021-01-16,16,quantile,0.01,41
2020-12-28,3 wk ahead inc death,2021-01-16,17,quantile,0.01,503
2020-12-28,3 wk ahead inc death,2021-01-16,18,quantile,0.01,264
2020-12-28,3 wk ahead inc death,2021-01-16,19,quantile,0.01,79
2020-12-28,3 wk ahead inc death,2021-01-16,20,quantile,0.01,90
2020-12-28,3 wk ahead inc death,2021-01-16,21,quantile,0.01,71
2020-12-28,3 wk ahead inc death,2021-01-16,22,quantile,0.01,122
2020-12-28,3 wk ahead inc death,2021-01-16,23,quantile,0.01,21
2020-12-28,3 wk ahead inc death,2021-01-16,24,quantile,0.01,184
2020-12-28,3 wk ahead inc death,2021-01-16,25,quantile,0.01,251
2020-12-28,3 wk ahead inc death,2021-01-16,26,quantile,0.01,204
2020-12-28,3 wk ahead inc death,2021-01-16,27,quantile,0.01,122
2020-12-28,3 wk ahead inc death,2021-01-16,28,quantile,0.01,130
2020-12-28,3 wk ahead inc death,2021-01-16,29,quantile,0.01,190
2020-12-28,3 wk ahead inc death,2021-01-16,30,quantile,0.01,17
2020-12-28,3 wk ahead inc death,2021-01-16,31,quantile,0.01,38
2020-12-28,3 wk ahead inc death,2021-01-16,32,quantile,0.01,119
2020-12-28,3 wk ahead inc death,2021-01-16,33,quantile,0.01,28
2020-12-28,3 wk ahead inc death,2021-01-16,34,quantile,0.01,245
2020-12-28,3 wk ahead inc death,2021-01-16,35,quantile,0.01,87
2020-12-28,3 wk ahead inc death,2021-01-16,36,quantile,0.01,558
2020-12-28,3 wk ahead inc death,2021-01-16,37,quantile,0.01,219
2020-12-28,3 wk ahead inc death,2021-01-16,38,quantile,0.01,15
2020-12-28,3 wk ahead inc death,2021-01-16,69,quantile,0.01,0
2020-12-28,3 wk ahead inc death,2021-01-16,39,quantile,0.01,273
2020-12-28,3 wk ahead inc death,2021-01-16,40,quantile,0.01,99
2020-12-28,3 wk ahead inc death,2021-01-16,41,quantile,0.01,67
2020-12-28,3 wk ahead inc death,2021-01-16,42,quantile,0.01,772
2020-12-28,3 wk ahead inc death,2021-01-16,72,quantile,0.01,47
2020-12-28,3 wk ahead inc death,2021-01-16,44,quantile,0.01,41
2020-12-28,3 wk ahead inc death,2021-01-16,45,quantile,0.01,174
2020-12-28,3 wk ahead inc death,2021-01-16,46,quantile,0.01,30
2020-12-28,3 wk ahead inc death,2021-01-16,47,quantile,0.01,409
2020-12-28,3 wk ahead inc death,2021-01-16,48,quantile,0.01,900
2020-12-28,3 wk ahead inc death,2021-01-16,49,quantile,0.01,35
2020-12-28,3 wk ahead inc death,2021-01-16,50,quantile,0.01,5
2020-12-28,3 wk ahead inc death,2021-01-16,78,quantile,0.01,0
2020-12-28,3 wk ahead inc death,2021-01-16,51,quantile,0.01,148
2020-12-28,3 wk ahead inc death,2021-01-16,53,quantile,0.01,57
2020-12-28,3 wk ahead inc death,2021-01-16,54,quantile,0.01,81
2020-12-28,3 wk ahead inc death,2021-01-16,55,quantile,0.01,134
2020-12-28,3 wk ahead inc death,2021-01-16,56,quantile,0.01,7
2020-12-28,4 wk ahead inc death,2021-01-23,01,quantile,0.01,152
2020-12-28,4 wk ahead inc death,2021-01-23,02,quantile,0.01,3
2020-12-28,4 wk ahead inc death,2021-01-23,60,quantile,0.01,0
2020-12-28,4 wk ahead inc death,2021-01-23,04,quantile,0.01,304
2020-12-28,4 wk ahead inc death,2021-01-23,05,quantile,0.01,148
2020-12-28,4 wk ahead inc death,2021-01-23,06,quantile,0.01,1595
2020-12-28,4 wk ahead inc death,2021-01-23,08,quantile,0.01,103
2020-12-28,4 wk ahead inc death,2021-01-23,09,quantile,0.01,91
2020-12-28,4 wk ahead inc death,2021-01-23,10,quantile,0.01,15
2020-12-28,4 wk ahead inc death,2021-01-23,11,quantile,0.01,12
2020-12-28,4 wk ahead inc death,2021-01-23,12,quantile,0.01,515
2020-12-28,4 wk ahead inc death,2021-01-23,13,quantile,0.01,229
2020-12-28,4 wk ahead inc death,2021-01-23,66,quantile,0.01,0
2020-12-28,4 wk ahead inc death,2021-01-23,15,quantile,0.01,3
2020-12-28,4 wk ahead inc death,2021-01-23,16,quantile,0.01,36
2020-12-28,4 wk ahead inc death,2021-01-23,17,quantile,0.01,410
2020-12-28,4 wk ahead inc death,2021-01-23,18,quantile,0.01,224
2020-12-28,4 wk ahead inc death,2021-01-23,19,quantile,0.01,65
2020-12-28,4 wk ahead inc death,2021-01-23,20,quantile,0.01,77
2020-12-28,4 wk ahead inc death,2021-01-23,21,quantile,0.01,62
2020-12-28,4 wk ahead inc death,2021-01-23,22,quantile,0.01,111
2020-12-28,4 wk ahead inc death,2021-01-23,23,quantile,0.01,24
2020-12-28,4 wk ahead inc death,2021-01-23,24,quantile,0.01,168
2020-12-28,4 wk ahead inc death,2021-01-23,25,quantile,0.01,234
2020-12-28,4 wk ahead inc death,2021-01-23,26,quantile,0.01,153
2020-12-28,4 wk ahead inc death,2021-01-23,27,quantile,0.01,88
2020-12-28,4 wk ahead inc death,2021-01-23,28,quantile,0.01,119
2020-12-28,4 wk ahead inc death,2021-01-23,29,quantile,0.01,162
2020-12-28,4 wk ahead inc death,2021-01-23,30,quantile,0.01,15
2020-12-28,4 wk ahead inc death,2021-01-23,31,quantile,0.01,30
2020-12-28,4 wk ahead inc death,2021-01-23,32,quantile,0.01,101
2020-12-28,4 wk ahead inc death,2021-01-23,33,quantile,0.01,29
2020-12-28,4 wk ahead inc death,2021-01-23,34,quantile,0.01,222
2020-12-28,4 wk ahead inc death,2021-01-23,35,quantile,0.01,70
