forecast_date,target,target_end_date,location,type,quantile,value
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.01,60
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.025,69
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.05,78
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.1,89
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.15,96
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.2,102
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.25,108
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.3,114
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.35,119
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.4,124
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.45,129
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.5,135
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.55,141
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.6,146
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.65,152
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.7,159
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.75,166
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.8,174
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.85,184
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.9,198
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.95,219
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.975,239
2020-11-16,1 wk ahead inc death,2020-11-21,01,quantile,0.99,259
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.01,2
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.025,3
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.05,3
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.1,5
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.15,6
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.2,7
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.25,7
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.3,8
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.35,9
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.4,10
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.45,11
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.5,12
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.55,13
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.6,14
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.65,15
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.7,17
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.75,18
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.8,19
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.85,21
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.9,23
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.95,26
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.975,29
2020-11-16,1 wk ahead inc death,2020-11-21,02,quantile,0.99,33
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.01,92
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.025,102
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.05,111
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.1,123
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.15,130
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.2,138
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.25,145
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.3,151
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.35,158
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.4,165
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.45,171
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.5,178
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.55,185
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.6,192
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.65,198
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.7,207
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.75,215
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.8,225
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.85,236
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.9,252
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.95,278
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.975,304
2020-11-16,1 wk ahead inc death,2020-11-21,04,quantile,0.99,335
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.01,82
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.025,91
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.05,98
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.1,105
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.15,110
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.2,114
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.25,117
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.3,120
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.35,124
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.4,126
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.45,129
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.5,133
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.55,136
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.6,139
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.65,143
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.7,146
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.75,149
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.8,154
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.85,159
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.9,165
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.95,175
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.975,183
2020-11-16,1 wk ahead inc death,2020-11-21,05,quantile,0.99,195
2020-11-16,1 wk ahead inc death,2020-11-21,06,quantile,0.01,216
2020-11-16,1 wk ahead inc death,2020-11-21,06,quantile,0.025,243
2020-11-16,1 wk ahead inc death,2020-11-21,06,quantile,0.05,262
2020-11-16,1 wk ahead inc death,2020-11-21,06,quantile,0.1,285
