forecast_date,target,target_end_date,location,type,quantile,value
2021-01-04,1 wk ahead inc case,2021-01-09,01,quantile,0.025,12294
2021-01-04,1 wk ahead inc case,2021-01-09,01,quantile,0.1,16066
2021-01-04,1 wk ahead inc case,2021-01-09,01,quantile,0.25,19397
2021-01-04,1 wk ahead inc case,2021-01-09,01,quantile,0.5,23046
2021-01-04,1 wk ahead inc case,2021-01-09,01,quantile,0.75,26741
2021-01-04,1 wk ahead inc case,2021-01-09,01,quantile,0.9,30286
2021-01-04,1 wk ahead inc case,2021-01-09,01,quantile,0.975,36162
2021-01-04,1 wk ahead inc case,2021-01-09,02,quantile,0.025,854
2021-01-04,1 wk ahead inc case,2021-01-09,02,quantile,0.1,1125
2021-01-04,1 wk ahead inc case,2021-01-09,02,quantile,0.25,1405
2021-01-04,1 wk ahead inc case,2021-01-09,02,quantile,0.5,1783
2021-01-04,1 wk ahead inc case,2021-01-09,02,quantile,0.75,2319
2021-01-04,1 wk ahead inc case,2021-01-09,02,quantile,0.9,2939
2021-01-04,1 wk ahead inc case,2021-01-09,02,quantile,0.975,4013
2021-01-04,1 wk ahead inc case,2021-01-09,04,quantile,0.025,27723
2021-01-04,1 wk ahead inc case,2021-01-09,04,quantile,0.1,35947
2021-01-04,1 wk ahead inc case,2021-01-09,04,quantile,0.25,43201
2021-01-04,1 wk ahead inc case,2021-01-09,04,quantile,0.5,51879
2021-01-04,1 wk ahead inc case,2021-01-09,04,quantile,0.75,62688
2021-01-04,1 wk ahead inc case,2021-01-09,04,quantile,0.9,75245
2021-01-04,1 wk ahead inc case,2021-01-09,04,quantile,0.975,100577
2021-01-04,1 wk ahead inc case,2021-01-09,05,quantile,0.025,8421
2021-01-04,1 wk ahead inc case,2021-01-09,05,quantile,0.1,11030
2021-01-04,1 wk ahead inc case,2021-01-09,05,quantile,0.25,13199
2021-01-04,1 wk ahead inc case,2021-01-09,05,quantile,0.5,15536
2021-01-04,1 wk ahead inc case,2021-01-09,05,quantile,0.75,18144
2021-01-04,1 wk ahead inc case,2021-01-09,05,quantile,0.9,20521
2021-01-04,1 wk ahead inc case,2021-01-09,05,quantile,0.975,24672
2021-01-04,1 wk ahead inc case,2021-01-09,06,quantile,0.025,134081
2021-01-04,1 wk ahead inc case,2021-01-09,06,quantile,0.1,175077
2021-01-04,1 wk ahead inc case,2021-01-09,06,quantile,0.25,206041
2021-01-04,1 wk ahead inc case,2021-01-09,06,quantile,0.5,238510
2021-01-04,1 wk ahead inc case,2021-01-09,06,quantile,0.75,273779
2021-01-04,1 wk ahead inc case,2021-01-09,06,quantile,0.9,313618
2021-01-04,1 wk ahead inc case,2021-01-09,06,quantile,0.975,377755
2021-01-04,1 wk ahead inc case,2021-01-09,08,quantile,0.025,6947
2021-01-04,1 wk ahead inc case,2021-01-09,08,quantile,0.1,9254
2021-01-04,1 wk ahead inc case,2021-01-09,08,quantile,0.25,10926
2021-01-04,1 wk ahead inc case,2021-01-09,08,quantile,0.5,12903
2021-01-04,1 wk ahead inc case,2021-01-09,08,quantile,0.75,15219
2021-01-04,1 wk ahead inc case,2021-01-09,08,quantile,0.9,17714
2021-01-04,1 wk ahead inc case,2021-01-09,08,quantile,0.975,22176
2021-01-04,1 wk ahead inc case,2021-01-09,09,quantile,0.025,4773
2021-01-04,1 wk ahead inc case,2021-01-09,09,quantile,0.1,6930
2021-01-04,1 wk ahead inc case,2021-01-09,09,quantile,0.25,9094
2021-01-04,1 wk ahead inc case,2021-01-09,09,quantile,0.5,12141
2021-01-04,1 wk ahead inc case,2021-01-09,09,quantile,0.75,16231
2021-01-04,1 wk ahead inc case,2021-01-09,09,quantile,0.9,20115
2021-01-04,1 wk ahead inc case,2021-01-09,09,quantile,0.975,27270
2021-01-04,1 wk ahead inc case,2021-01-09,10,quantile,0.025,1839
2021-01-04,1 wk ahead inc case,2021-01-09,10,quantile,0.1,2435
2021-01-04,1 wk ahead inc case,2021-01-09,10,quantile,0.25,2945
2021-01-04,1 wk ahead inc case,2021-01-09,10,quantile,0.5,3680
2021-01-04,1 wk ahead inc case,2021-01-09,10,quantile,0.75,4527
2021-01-04,1 wk ahead inc case,2021-01-09,10,quantile,0.9,5464
2021-01-04,1 wk ahead inc case,2021-01-09,10,quantile,0.975,6804
2021-01-04,1 wk ahead inc case,2021-01-09,11,quantile,0.025,689
2021-01-04,1 wk ahead inc case,2021-01-09,11,quantile,0.1,883
2021-01-04,1 wk ahead inc case,2021-01-09,11,quantile,0.25,1073
2021-01-04,1 wk ahead inc case,2021-01-09,11,quantile,0.5,1336
2021-01-04,1 wk ahead inc case,2021-01-09,11,quantile,0.75,1778
2021-01-04,1 wk ahead inc case,2021-01-09,11,quantile,0.9,2445
2021-01-04,1 wk ahead inc case,2021-01-09,11,quantile,0.975,3733
2021-01-04,1 wk ahead inc case,2021-01-09,12,quantile,0.025,49196
2021-01-04,1 wk ahead inc case,2021-01-09,12,quantile,0.1,61935
2021-01-04,1 wk ahead inc case,2021-01-09,12,quantile,0.25,72564
2021-01-04,1 wk ahead inc case,2021-01-09,12,quantile,0.5,86386
2021-01-04,1 wk ahead inc case,2021-01-09,12,quantile,0.75,101711
2021-01-04,1 wk ahead inc case,2021-01-09,12,quantile,0.9,118558
2021-01-04,1 wk ahead inc case,2021-01-09,12,quantile,0.975,140466
2021-01-04,1 wk ahead inc case,2021-01-09,13,quantile,0.025,29276
2021-01-04,1 wk ahead inc case,2021-01-09,13,quantile,0.1,38303
