forecast_date,target,target_end_date,location,type,quantile,value
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.01,48
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.025,52
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.05,56
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.1,62
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.15,66
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.2,69
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.25,72
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.3,75
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.35,78
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.4,80
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.45,83
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.5,86
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.55,89
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.6,92
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.65,94
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.7,98
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.75,101
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.8,105
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.85,109
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.9,116
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.95,124
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.975,133
2020-09-14,1 wk ahead inc death,2020-09-19,01,quantile,0.99,141
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.01,0
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.025,1
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.05,1
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.1,1
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.15,1
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.2,1
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.25,1
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.3,2
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.35,2
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.4,2
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.45,2
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.5,3
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.55,4
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.6,4
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.65,4
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.7,4
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.75,5
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.8,5
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.85,5
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.9,6
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.95,7
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.975,7
2020-09-14,1 wk ahead inc death,2020-09-19,02,quantile,0.99,8
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.01,62
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.025,68
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.05,74
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.1,82
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.15,88
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.2,92
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.25,96
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.3,100
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.35,104
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.4,107
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.45,111
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.5,115
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.55,119
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.6,122
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.65,125
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.7,130
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.75,134
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.8,139
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.85,145
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.9,154
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.95,167
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.975,178
2020-09-14,1 wk ahead inc death,2020-09-19,04,quantile,0.99,192
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.01,59
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.025,63
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.05,67
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.1,71
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.15,73
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.2,76
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.25,78
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.3,80
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.35,81
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.4,83
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.45,85
2020-09-14,1 wk ahead inc death,2020-09-19,05,quantile,0.5,87
