forecast_date,target,target_end_date,location,type,quantile,value
2020-12-21,1 wk ahead inc case,2020-12-26,11,quantile,0.025,992
2020-12-21,1 wk ahead inc case,2020-12-26,01,quantile,0.025,15015
2020-12-21,1 wk ahead inc case,2020-12-26,02,quantile,0.025,1221
2020-12-21,1 wk ahead inc case,2020-12-26,04,quantile,0.025,25356
2020-12-21,1 wk ahead inc case,2020-12-26,05,quantile,0.025,8490
2020-12-21,1 wk ahead inc case,2020-12-26,06,quantile,0.025,179442
2020-12-21,1 wk ahead inc case,2020-12-26,08,quantile,0.025,11298
2020-12-21,1 wk ahead inc case,2020-12-26,09,quantile,0.025,6076
2020-12-21,1 wk ahead inc case,2020-12-26,10,quantile,0.025,2726
2020-12-21,1 wk ahead inc case,2020-12-26,12,quantile,0.025,47014
2020-12-21,1 wk ahead inc case,2020-12-26,13,quantile,0.025,27656
2020-12-21,1 wk ahead inc case,2020-12-26,15,quantile,0.025,478
2020-12-21,1 wk ahead inc case,2020-12-26,16,quantile,0.025,4750
2020-12-21,1 wk ahead inc case,2020-12-26,17,quantile,0.025,30495
2020-12-21,1 wk ahead inc case,2020-12-26,18,quantile,0.025,23999
2020-12-21,1 wk ahead inc case,2020-12-26,19,quantile,0.025,4242
2020-12-21,1 wk ahead inc case,2020-12-26,20,quantile,0.025,4634
2020-12-21,1 wk ahead inc case,2020-12-26,21,quantile,0.025,10489
2020-12-21,1 wk ahead inc case,2020-12-26,22,quantile,0.025,8906
2020-12-21,1 wk ahead inc case,2020-12-26,23,quantile,0.025,1380
2020-12-21,1 wk ahead inc case,2020-12-26,24,quantile,0.025,10415
2020-12-21,1 wk ahead inc case,2020-12-26,25,quantile,0.025,19422
2020-12-21,1 wk ahead inc case,2020-12-26,26,quantile,0.025,9752
2020-12-21,1 wk ahead inc case,2020-12-26,27,quantile,0.025,9191
2020-12-21,1 wk ahead inc case,2020-12-26,28,quantile,0.025,8757
2020-12-21,1 wk ahead inc case,2020-12-26,29,quantile,0.025,11453
2020-12-21,1 wk ahead inc case,2020-12-26,30,quantile,0.025,1931
2020-12-21,1 wk ahead inc case,2020-12-26,31,quantile,0.025,3587
2020-12-21,1 wk ahead inc case,2020-12-26,32,quantile,0.025,9857
2020-12-21,1 wk ahead inc case,2020-12-26,33,quantile,0.025,3198
2020-12-21,1 wk ahead inc case,2020-12-26,34,quantile,0.025,20141
2020-12-21,1 wk ahead inc case,2020-12-26,35,quantile,0.025,5284
2020-12-21,1 wk ahead inc case,2020-12-26,36,quantile,0.025,45908
2020-12-21,1 wk ahead inc case,2020-12-26,37,quantile,0.025,27248
2020-12-21,1 wk ahead inc case,2020-12-26,38,quantile,0.025,839
2020-12-21,1 wk ahead inc case,2020-12-26,39,quantile,0.025,36618
2020-12-21,1 wk ahead inc case,2020-12-26,40,quantile,0.025,13255
2020-12-21,1 wk ahead inc case,2020-12-26,41,quantile,0.025,5043
2020-12-21,1 wk ahead inc case,2020-12-26,42,quantile,0.025,39477
2020-12-21,1 wk ahead inc case,2020-12-26,44,quantile,0.025,2474
2020-12-21,1 wk ahead inc case,2020-12-26,45,quantile,0.025,13214
2020-12-21,1 wk ahead inc case,2020-12-26,46,quantile,0.025,1514
2020-12-21,1 wk ahead inc case,2020-12-26,47,quantile,0.025,38017
2020-12-21,1 wk ahead inc case,2020-12-26,48,quantile,0.025,62869
2020-12-21,1 wk ahead inc case,2020-12-26,49,quantile,0.025,8327
2020-12-21,1 wk ahead inc case,2020-12-26,50,quantile,0.025,346
2020-12-21,1 wk ahead inc case,2020-12-26,51,quantile,0.025,16192
2020-12-21,1 wk ahead inc case,2020-12-26,53,quantile,0.025,4392
2020-12-21,1 wk ahead inc case,2020-12-26,54,quantile,0.025,5329
2020-12-21,1 wk ahead inc case,2020-12-26,55,quantile,0.025,12679
2020-12-21,1 wk ahead inc case,2020-12-26,56,quantile,0.025,856
2020-12-21,1 wk ahead inc case,2020-12-26,72,quantile,0.025,3251
2020-12-21,1 wk ahead inc case,2020-12-26,60,quantile,0.025,0
2020-12-21,1 wk ahead inc case,2020-12-26,66,quantile,0.025,12
2020-12-21,1 wk ahead inc case,2020-12-26,69,quantile,0.025,0
2020-12-21,1 wk ahead inc case,2020-12-26,78,quantile,0.025,29
2020-12-21,2 wk ahead inc case,2021-01-02,11,quantile,0.025,841
2020-12-21,2 wk ahead inc case,2021-01-02,01,quantile,0.025,14568
2020-12-21,2 wk ahead inc case,2021-01-02,02,quantile,0.025,1043
2020-12-21,2 wk ahead inc case,2021-01-02,04,quantile,0.025,22770
2020-12-21,2 wk ahead inc case,2021-01-02,05,quantile,0.025,8040
2020-12-21,2 wk ahead inc case,2021-01-02,06,quantile,0.025,169023
2020-12-21,2 wk ahead inc case,2021-01-02,08,quantile,0.025,9191
2020-12-21,2 wk ahead inc case,2021-01-02,09,quantile,0.025,5355
2020-12-21,2 wk ahead inc case,2021-01-02,10,quantile,0.025,2361
2020-12-21,2 wk ahead inc case,2021-01-02,12,quantile,0.025,45721
2020-12-21,2 wk ahead inc case,2021-01-02,13,quantile,0.025,25981
2020-12-21,2 wk ahead inc case,2021-01-02,15,quantile,0.025,349
2020-12-21,2 wk ahead inc case,2021-01-02,16,quantile,0.025,4045
2020-12-21,2 wk ahead inc case,2021-01-02,17,quantile,0.025,27511
2020-12-21,2 wk ahead inc case,2021-01-02,18,quantile,0.025,20116
2020-12-21,2 wk ahead inc case,2021-01-02,19,quantile,0.025,3757
2020-12-21,2 wk ahead inc case,2021-01-02,20,quantile,0.025,3982
2020-12-21,2 wk ahead inc case,2021-01-02,21,quantile,0.025,9648
2020-12-21,2 wk ahead inc case,2021-01-02,22,quantile,0.025,7019
2020-12-21,2 wk ahead inc case,2021-01-02,23,quantile,0.025,1285
2020-12-21,2 wk ahead inc case,2021-01-02,24,quantile,0.025,9195
2020-12-21,2 wk ahead inc case,2021-01-02,25,quantile,0.025,17612
2020-12-21,2 wk ahead inc case,2021-01-02,26,quantile,0.025,8412
2020-12-21,2 wk ahead inc case,2021-01-02,27,quantile,0.025,6790
2020-12-21,2 wk ahead inc case,2021-01-02,28,quantile,0.025,8111
2020-12-21,2 wk ahead inc case,2021-01-02,29,quantile,0.025,10187
2020-12-21,2 wk ahead inc case,2021-01-02,30,quantile,0.025,1507
2020-12-21,2 wk ahead inc case,2021-01-02,31,quantile,0.025,2829
2020-12-21,2 wk ahead inc case,2021-01-02,32,quantile,0.025,9180
2020-12-21,2 wk ahead inc case,2021-01-02,33,quantile,0.025,2664
2020-12-21,2 wk ahead inc case,2021-01-02,34,quantile,0.025,17363
2020-12-21,2 wk ahead inc case,2021-01-02,35,quantile,0.025,4512
2020-12-21,2 wk ahead inc case,2021-01-02,36,quantile,0.025,41558
2020-12-21,2 wk ahead inc case,2021-01-02,37,quantile,0.025,24813
2020-12-21,2 wk ahead inc case,2021-01-02,38,quantile,0.025,548
2020-12-21,2 wk ahead inc case,2021-01-02,39,quantile,0.025,30896
2020-12-21,2 wk ahead inc case,2021-01-02,40,quantile,0.025,11066
2020-12-21,2 wk ahead inc case,2021-01-02,41,quantile,0.025,4248
2020-12-21,2 wk ahead inc case,2021-01-02,42,quantile,0.025,35200
2020-12-21,2 wk ahead inc case,2021-01-02,44,quantile,0.025,2181
2020-12-21,2 wk ahead inc case,2021-01-02,45,quantile,0.025,12430
2020-12-21,2 wk ahead inc case,2021-01-02,46,quantile,0.025,1204
2020-12-21,2 wk ahead inc case,2021-01-02,47,quantile,0.025,31110
2020-12-21,2 wk ahead inc case,2021-01-02,48,quantile,0.025,62465
2020-12-21,2 wk ahead inc case,2021-01-02,49,quantile,0.025,7212
2020-12-21,2 wk ahead inc case,2021-01-02,50,quantile,0.025,279
