forecast_date,target,target_end_date,location,type,quantile,value
2020-12-28,1 wk ahead inc death,2021-01-02,01,quantile,0.01,153
2020-12-28,1 wk ahead inc death,2021-01-02,02,quantile,0.01,4
2020-12-28,1 wk ahead inc death,2021-01-02,60,quantile,0.01,0
2020-12-28,1 wk ahead inc death,2021-01-02,04,quantile,0.01,332
2020-12-28,1 wk ahead inc death,2021-01-02,05,quantile,0.01,180
2020-12-28,1 wk ahead inc death,2021-01-02,06,quantile,0.01,1324
2020-12-28,1 wk ahead inc death,2021-01-02,08,quantile,0.01,175
2020-12-28,1 wk ahead inc death,2021-01-02,09,quantile,0.01,110
2020-12-28,1 wk ahead inc death,2021-01-02,10,quantile,0.01,16
2020-12-28,1 wk ahead inc death,2021-01-02,11,quantile,0.01,14
2020-12-28,1 wk ahead inc death,2021-01-02,12,quantile,0.01,506
2020-12-28,1 wk ahead inc death,2021-01-02,13,quantile,0.01,173
2020-12-28,1 wk ahead inc death,2021-01-02,66,quantile,0.01,2
2020-12-28,1 wk ahead inc death,2021-01-02,15,quantile,0.01,2
2020-12-28,1 wk ahead inc death,2021-01-02,16,quantile,0.01,52
2020-12-28,1 wk ahead inc death,2021-01-02,17,quantile,0.01,691
2020-12-28,1 wk ahead inc death,2021-01-02,18,quantile,0.01,347
2020-12-28,1 wk ahead inc death,2021-01-02,19,quantile,0.01,122
2020-12-28,1 wk ahead inc death,2021-01-02,20,quantile,0.01,116
2020-12-28,1 wk ahead inc death,2021-01-02,21,quantile,0.01,103
2020-12-28,1 wk ahead inc death,2021-01-02,22,quantile,0.01,145
2020-12-28,1 wk ahead inc death,2021-01-02,23,quantile,0.01,18
2020-12-28,1 wk ahead inc death,2021-01-02,24,quantile,0.01,208
2020-12-28,1 wk ahead inc death,2021-01-02,25,quantile,0.01,235
2020-12-28,1 wk ahead inc death,2021-01-02,26,quantile,0.01,350
2020-12-28,1 wk ahead inc death,2021-01-02,27,quantile,0.01,225
2020-12-28,1 wk ahead inc death,2021-01-02,28,quantile,0.01,141
2020-12-28,1 wk ahead inc death,2021-01-02,29,quantile,0.01,240
2020-12-28,1 wk ahead inc death,2021-01-02,30,quantile,0.01,27
2020-12-28,1 wk ahead inc death,2021-01-02,31,quantile,0.01,53
2020-12-28,1 wk ahead inc death,2021-01-02,32,quantile,0.01,143
2020-12-28,1 wk ahead inc death,2021-01-02,33,quantile,0.01,31
2020-12-28,1 wk ahead inc death,2021-01-02,34,quantile,0.01,264
2020-12-28,1 wk ahead inc death,2021-01-02,35,quantile,0.01,124
2020-12-28,1 wk ahead inc death,2021-01-02,36,quantile,0.01,544
2020-12-28,1 wk ahead inc death,2021-01-02,37,quantile,0.01,225
2020-12-28,1 wk ahead inc death,2021-01-02,38,quantile,0.01,24
2020-12-28,1 wk ahead inc death,2021-01-02,69,quantile,0.01,0
