forecast_date,target,target_end_date,location,type,quantile,value
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.01,1
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.025,1
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.05,2
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.1,3
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.15,3
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.2,4
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.25,4
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.3,4
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.35,5
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.4,5
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.45,6
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.5,7
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.55,7
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.6,8
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.65,8
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.7,8
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.75,9
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.8,9
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.85,10
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.9,12
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.95,15
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.975,16
2020-07-27,1 wk ahead inc death,2020-08-01,11,quantile,0.99,18
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.01,121
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.025,133
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.05,140
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.1,148
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.15,153
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.2,157
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.25,160
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.3,165
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.35,168
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.4,171
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.45,175
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.5,180
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.55,187
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.6,194
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.65,199
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.7,203
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.75,206
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.8,217
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.85,233
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.9,248
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.95,271
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.975,276
2020-07-27,1 wk ahead inc death,2020-08-01,01,quantile,0.99,287
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.01,0
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.025,1
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.05,1
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.1,1
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.15,2
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.2,2
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.25,2
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.3,2
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.35,3
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.4,3
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.45,3
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.5,4
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.55,5
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.6,5
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.65,5
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.7,6
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.75,6
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.8,7
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.85,7
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.9,9
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.95,11
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.975,11
2020-07-27,1 wk ahead inc death,2020-08-01,02,quantile,0.99,12
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.01,328
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.025,348
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.05,365
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.1,391
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.15,407
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.2,423
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.25,435
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.3,452
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.35,463
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.4,470
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.45,487
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.5,516
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.55,529
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.6,539
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.65,547
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.7,555
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.75,566
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.8,585
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.85,609
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.9,632
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.95,658
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.975,674
2020-07-27,1 wk ahead inc death,2020-08-01,04,quantile,0.99,714
