forecast_date,target,target_end_date,location,type,quantile,value
2020-12-07,1 wk ahead inc case,2020-12-12,01,quantile,0.025,16536
2020-12-07,1 wk ahead inc case,2020-12-12,01,quantile,0.1,18472
2020-12-07,1 wk ahead inc case,2020-12-12,01,quantile,0.25,20393
2020-12-07,1 wk ahead inc case,2020-12-12,01,quantile,0.5,23044
2020-12-07,1 wk ahead inc case,2020-12-12,01,quantile,0.75,26441
2020-12-07,1 wk ahead inc case,2020-12-12,01,quantile,0.9,28562
2020-12-07,1 wk ahead inc case,2020-12-12,01,quantile,0.975,31635
2020-12-07,1 wk ahead inc case,2020-12-12,02,quantile,0.025,3406
2020-12-07,1 wk ahead inc case,2020-12-12,02,quantile,0.1,3561
2020-12-07,1 wk ahead inc case,2020-12-12,02,quantile,0.25,3783
2020-12-07,1 wk ahead inc case,2020-12-12,02,quantile,0.5,4155
2020-12-07,1 wk ahead inc case,2020-12-12,02,quantile,0.75,4783
2020-12-07,1 wk ahead inc case,2020-12-12,02,quantile,0.9,5089
2020-12-07,1 wk ahead inc case,2020-12-12,02,quantile,0.975,5765
2020-12-07,1 wk ahead inc case,2020-12-12,04,quantile,0.025,29331
2020-12-07,1 wk ahead inc case,2020-12-12,04,quantile,0.1,30850
2020-12-07,1 wk ahead inc case,2020-12-12,04,quantile,0.25,33645
2020-12-07,1 wk ahead inc case,2020-12-12,04,quantile,0.5,38709
2020-12-07,1 wk ahead inc case,2020-12-12,04,quantile,0.75,44460
2020-12-07,1 wk ahead inc case,2020-12-12,04,quantile,0.9,48647
2020-12-07,1 wk ahead inc case,2020-12-12,04,quantile,0.975,54727
2020-12-07,1 wk ahead inc case,2020-12-12,05,quantile,0.025,9897
2020-12-07,1 wk ahead inc case,2020-12-12,05,quantile,0.1,11141
2020-12-07,1 wk ahead inc case,2020-12-12,05,quantile,0.25,12098
2020-12-07,1 wk ahead inc case,2020-12-12,05,quantile,0.5,13735
2020-12-07,1 wk ahead inc case,2020-12-12,05,quantile,0.75,16071
2020-12-07,1 wk ahead inc case,2020-12-12,05,quantile,0.9,17037
2020-12-07,1 wk ahead inc case,2020-12-12,05,quantile,0.975,19530
2020-12-07,1 wk ahead inc case,2020-12-12,06,quantile,0.025,120186
2020-12-07,1 wk ahead inc case,2020-12-12,06,quantile,0.1,132763
2020-12-07,1 wk ahead inc case,2020-12-12,06,quantile,0.25,151475
2020-12-07,1 wk ahead inc case,2020-12-12,06,quantile,0.5,173650
2020-12-07,1 wk ahead inc case,2020-12-12,06,quantile,0.75,190241
2020-12-07,1 wk ahead inc case,2020-12-12,06,quantile,0.9,205248
2020-12-07,1 wk ahead inc case,2020-12-12,06,quantile,0.975,234247
2020-12-07,1 wk ahead inc case,2020-12-12,08,quantile,0.025,23483
2020-12-07,1 wk ahead inc case,2020-12-12,08,quantile,0.1,26022
2020-12-07,1 wk ahead inc case,2020-12-12,08,quantile,0.25,28260
2020-12-07,1 wk ahead inc case,2020-12-12,08,quantile,0.5,29666
2020-12-07,1 wk ahead inc case,2020-12-12,08,quantile,0.75,33826
2020-12-07,1 wk ahead inc case,2020-12-12,08,quantile,0.9,38472
2020-12-07,1 wk ahead inc case,2020-12-12,08,quantile,0.975,44093
2020-12-07,1 wk ahead inc case,2020-12-12,09,quantile,0.025,10620
2020-12-07,1 wk ahead inc case,2020-12-12,09,quantile,0.1,11679
2020-12-07,1 wk ahead inc case,2020-12-12,09,quantile,0.25,13229
2020-12-07,1 wk ahead inc case,2020-12-12,09,quantile,0.5,15663
2020-12-07,1 wk ahead inc case,2020-12-12,09,quantile,0.75,21653
2020-12-07,1 wk ahead inc case,2020-12-12,09,quantile,0.9,50358
2020-12-07,1 wk ahead inc case,2020-12-12,09,quantile,0.975,131523
