forecast_date,target,target_end_date,location,type,quantile,value
2020-09-14,1 wk ahead inc case,2020-09-19,11,quantile,0.025,166
2020-09-14,1 wk ahead inc case,2020-09-19,01,quantile,0.025,3828
2020-09-14,1 wk ahead inc case,2020-09-19,02,quantile,0.025,276
2020-09-14,1 wk ahead inc case,2020-09-19,04,quantile,0.025,1651
2020-09-14,1 wk ahead inc case,2020-09-19,05,quantile,0.025,3099
2020-09-14,1 wk ahead inc case,2020-09-19,06,quantile,0.025,16331
2020-09-14,1 wk ahead inc case,2020-09-19,08,quantile,0.025,1317
2020-09-14,1 wk ahead inc case,2020-09-19,09,quantile,0.025,415
2020-09-14,1 wk ahead inc case,2020-09-19,10,quantile,0.025,351
2020-09-14,1 wk ahead inc case,2020-09-19,12,quantile,0.025,12290
2020-09-14,1 wk ahead inc case,2020-09-19,13,quantile,0.025,7495
2020-09-14,1 wk ahead inc case,2020-09-19,15,quantile,0.025,416
2020-09-14,1 wk ahead inc case,2020-09-19,16,quantile,0.025,1265
2020-09-14,1 wk ahead inc case,2020-09-19,17,quantile,0.025,7892
2020-09-14,1 wk ahead inc case,2020-09-19,18,quantile,0.025,4522
2020-09-14,1 wk ahead inc case,2020-09-19,19,quantile,0.025,2863
2020-09-14,1 wk ahead inc case,2020-09-19,20,quantile,0.025,1780
2020-09-14,1 wk ahead inc case,2020-09-19,21,quantile,0.025,3028
2020-09-14,1 wk ahead inc case,2020-09-19,22,quantile,0.025,3071
2020-09-14,1 wk ahead inc case,2020-09-19,23,quantile,0.025,110
2020-09-14,1 wk ahead inc case,2020-09-19,24,quantile,0.025,2382
2020-09-14,1 wk ahead inc case,2020-09-19,25,quantile,0.025,1338
2020-09-14,1 wk ahead inc case,2020-09-19,26,quantile,0.025,2510
2020-09-14,1 wk ahead inc case,2020-09-19,27,quantile,0.025,2717
2020-09-14,1 wk ahead inc case,2020-09-19,28,quantile,0.025,1997
2020-09-14,1 wk ahead inc case,2020-09-19,29,quantile,0.025,6545
2020-09-14,1 wk ahead inc case,2020-09-19,30,quantile,0.025,466
2020-09-14,1 wk ahead inc case,2020-09-19,31,quantile,0.025,1217
2020-09-14,1 wk ahead inc case,2020-09-19,32,quantile,0.025,1156
2020-09-14,1 wk ahead inc case,2020-09-19,33,quantile,0.025,121
2020-09-14,1 wk ahead inc case,2020-09-19,34,quantile,0.025,1538
2020-09-14,1 wk ahead inc case,2020-09-19,35,quantile,0.025,428
2020-09-14,1 wk ahead inc case,2020-09-19,36,quantile,0.025,2806
2020-09-14,1 wk ahead inc case,2020-09-19,37,quantile,0.025,5849
2020-09-14,1 wk ahead inc case,2020-09-19,38,quantile,0.025,1276
2020-09-14,1 wk ahead inc case,2020-09-19,39,quantile,0.025,4974
2020-09-14,1 wk ahead inc case,2020-09-19,40,quantile,0.025,3635
2020-09-14,1 wk ahead inc case,2020-09-19,41,quantile,0.025,987
2020-09-14,1 wk ahead inc case,2020-09-19,42,quantile,0.025,2848
2020-09-14,1 wk ahead inc case,2020-09-19,44,quantile,0.025,403
2020-09-14,1 wk ahead inc case,2020-09-19,45,quantile,0.025,4409
2020-09-14,1 wk ahead inc case,2020-09-19,46,quantile,0.025,910
2020-09-14,1 wk ahead inc case,2020-09-19,47,quantile,0.025,5170
2020-09-14,1 wk ahead inc case,2020-09-19,48,quantile,0.025,17117
2020-09-14,1 wk ahead inc case,2020-09-19,49,quantile,0.025,1793
2020-09-14,1 wk ahead inc case,2020-09-19,50,quantile,0.025,16
2020-09-14,1 wk ahead inc case,2020-09-19,51,quantile,0.025,4370
2020-09-14,1 wk ahead inc case,2020-09-19,53,quantile,0.025,1794
2020-09-14,1 wk ahead inc case,2020-09-19,54,quantile,0.025,787
2020-09-14,1 wk ahead inc case,2020-09-19,55,quantile,0.025,5542
2020-09-14,1 wk ahead inc case,2020-09-19,56,quantile,0.025,161
2020-09-14,1 wk ahead inc case,2020-09-19,72,quantile,0.025,1138
2020-09-14,1 wk ahead inc case,2020-09-19,60,quantile,0.025,0
2020-09-14,1 wk ahead inc case,2020-09-19,66,quantile,0.025,77
2020-09-14,1 wk ahead inc case,2020-09-19,69,quantile,0.025,0
2020-09-14,1 wk ahead inc case,2020-09-19,78,quantile,0.025,8
2020-09-14,2 wk ahead inc case,2020-09-26,11,quantile,0.025,114
2020-09-14,2 wk ahead inc case,2020-09-26,01,quantile,0.025,2856
2020-09-14,2 wk ahead inc case,2020-09-26,02,quantile,0.025,205
2020-09-14,2 wk ahead inc case,2020-09-26,04,quantile,0.025,1308
2020-09-14,2 wk ahead inc case,2020-09-26,05,quantile,0.025,2601
2020-09-14,2 wk ahead inc case,2020-09-26,06,quantile,0.025,12574
2020-09-14,2 wk ahead inc case,2020-09-26,08,quantile,0.025,1015
2020-09-14,2 wk ahead inc case,2020-09-26,09,quantile,0.025,355
2020-09-14,2 wk ahead inc case,2020-09-26,10,quantile,0.025,265
2020-09-14,2 wk ahead inc case,2020-09-26,12,quantile,0.025,9503
2020-09-14,2 wk ahead inc case,2020-09-26,13,quantile,0.025,5756
2020-09-14,2 wk ahead inc case,2020-09-26,15,quantile,0.025,260
2020-09-14,2 wk ahead inc case,2020-09-26,16,quantile,0.025,1060
2020-09-14,2 wk ahead inc case,2020-09-26,17,quantile,0.025,6291
2020-09-14,2 wk ahead inc case,2020-09-26,18,quantile,0.025,3649
2020-09-14,2 wk ahead inc case,2020-09-26,19,quantile,0.025,2207
2020-09-14,2 wk ahead inc case,2020-09-26,20,quantile,0.025,1387
2020-09-14,2 wk ahead inc case,2020-09-26,21,quantile,0.025,2479
2020-09-14,2 wk ahead inc case,2020-09-26,22,quantile,0.025,2301
2020-09-14,2 wk ahead inc case,2020-09-26,23,quantile,0.025,93
2020-09-14,2 wk ahead inc case,2020-09-26,24,quantile,0.025,1886
2020-09-14,2 wk ahead inc case,2020-09-26,25,quantile,0.025,1200
2020-09-14,2 wk ahead inc case,2020-09-26,26,quantile,0.025,2162
2020-09-14,2 wk ahead inc case,2020-09-26,27,quantile,0.025,2169
2020-09-14,2 wk ahead inc case,2020-09-26,28,quantile,0.025,1508
2020-09-14,2 wk ahead inc case,2020-09-26,29,quantile,0.025,5094
2020-09-14,2 wk ahead inc case,2020-09-26,30,quantile,0.025,346
2020-09-14,2 wk ahead inc case,2020-09-26,31,quantile,0.025,1018
2020-09-14,2 wk ahead inc case,2020-09-26,32,quantile,0.025,825
2020-09-14,2 wk ahead inc case,2020-09-26,33,quantile,0.025,106
2020-09-14,2 wk ahead inc case,2020-09-26,34,quantile,0.025,1305
2020-09-14,2 wk ahead inc case,2020-09-26,35,quantile,0.025,310
2020-09-14,2 wk ahead inc case,2020-09-26,36,quantile,0.025,2427
2020-09-14,2 wk ahead inc case,2020-09-26,37,quantile,0.025,4579
2020-09-14,2 wk ahead inc case,2020-09-26,38,quantile,0.025,1022
2020-09-14,2 wk ahead inc case,2020-09-26,39,quantile,0.025,4098
2020-09-14,2 wk ahead inc case,2020-09-26,40,quantile,0.025,2940
2020-09-14,2 wk ahead inc case,2020-09-26,41,quantile,0.025,789
2020-09-14,2 wk ahead inc case,2020-09-26,42,quantile,0.025,2393
2020-09-14,2 wk ahead inc case,2020-09-26,44,quantile,0.025,301
2020-09-14,2 wk ahead inc case,2020-09-26,45,quantile,0.025,3307
2020-09-14,2 wk ahead inc case,2020-09-26,46,quantile,0.025,726
2020-09-14,2 wk ahead inc case,2020-09-26,47,quantile,0.025,3859
2020-09-14,2 wk ahead inc case,2020-09-26,48,quantile,0.025,13079
2020-09-14,2 wk ahead inc case,2020-09-26,49,quantile,0.025,1391
2020-09-14,2 wk ahead inc case,2020-09-26,50,quantile,0.025,13
2020-09-14,2 wk ahead inc case,2020-09-26,51,quantile,0.025,3578
2020-09-14,2 wk ahead inc case,2020-09-26,53,quantile,0.025,1370
2020-09-14,2 wk ahead inc case,2020-09-26,54,quantile,0.025,659
2020-09-14,2 wk ahead inc case,2020-09-26,55,quantile,0.025,4673
2020-09-14,2 wk ahead inc case,2020-09-26,56,quantile,0.025,128
2020-09-14,2 wk ahead inc case,2020-09-26,72,quantile,0.025,842
2020-09-14,2 wk ahead inc case,2020-09-26,60,quantile,0.025,0
2020-09-14,2 wk ahead inc case,2020-09-26,66,quantile,0.025,62
2020-09-14,2 wk ahead inc case,2020-09-26,69,quantile,0.025,0
2020-09-14,2 wk ahead inc case,2020-09-26,78,quantile,0.025,3
2020-09-14,3 wk ahead inc case,2020-10-03,11,quantile,0.025,98
2020-09-14,3 wk ahead inc case,2020-10-03,01,quantile,0.025,2335
2020-09-14,3 wk ahead inc case,2020-10-03,02,quantile,0.025,170
2020-09-14,3 wk ahead inc case,2020-10-03,04,quantile,0.025,1146
2020-09-14,3 wk ahead inc case,2020-10-03,05,quantile,0.025,2253
2020-09-14,3 wk ahead inc case,2020-10-03,06,quantile,0.025,10152
2020-09-14,3 wk ahead inc case,2020-10-03,08,quantile,0.025,889
2020-09-14,3 wk ahead inc case,2020-10-03,09,quantile,0.025,299
2020-09-14,3 wk ahead inc case,2020-10-03,10,quantile,0.025,226
2020-09-14,3 wk ahead inc case,2020-10-03,12,quantile,0.025,7683
2020-09-14,3 wk ahead inc case,2020-10-03,13,quantile,0.025,4620
2020-09-14,3 wk ahead inc case,2020-10-03,15,quantile,0.025,167
2020-09-14,3 wk ahead inc case,2020-10-03,16,quantile,0.025,908
2020-09-14,3 wk ahead inc case,2020-10-03,17,quantile,0.025,5364
2020-09-14,3 wk ahead inc case,2020-10-03,18,quantile,0.025,3246
2020-09-14,3 wk ahead inc case,2020-10-03,19,quantile,0.025,1841
2020-09-14,3 wk ahead inc case,2020-10-03,20,quantile,0.025,1114
2020-09-14,3 wk ahead inc case,2020-10-03,21,quantile,0.025,2184
2020-09-14,3 wk ahead inc case,2020-10-03,22,quantile,0.025,1944
2020-09-14,3 wk ahead inc case,2020-10-03,23,quantile,0.025,86
2020-09-14,3 wk ahead inc case,2020-10-03,24,quantile,0.025,1612
2020-09-14,3 wk ahead inc case,2020-10-03,25,quantile,0.025,1229
2020-09-14,3 wk ahead inc case,2020-10-03,26,quantile,0.025,2261
2020-09-14,3 wk ahead inc case,2020-10-03,27,quantile,0.025,1913
2020-09-14,3 wk ahead inc case,2020-10-03,28,quantile,0.025,1196
2020-09-14,3 wk ahead inc case,2020-10-03,29,quantile,0.025,4193
2020-09-14,3 wk ahead inc case,2020-10-03,30,quantile,0.025,283
2020-09-14,3 wk ahead inc case,2020-10-03,31,quantile,0.025,870
2020-09-14,3 wk ahead inc case,2020-10-03,32,quantile,0.025,648
2020-09-14,3 wk ahead inc case,2020-10-03,33,quantile,0.025,105
2020-09-14,3 wk ahead inc case,2020-10-03,34,quantile,0.025,1147
2020-09-14,3 wk ahead inc case,2020-10-03,35,quantile,0.025,257
2020-09-14,3 wk ahead inc case,2020-10-03,36,quantile,0.025,2265
2020-09-14,3 wk ahead inc case,2020-10-03,37,quantile,0.025,3944
2020-09-14,3 wk ahead inc case,2020-10-03,38,quantile,0.025,896
2020-09-14,3 wk ahead inc case,2020-10-03,39,quantile,0.025,3509
2020-09-14,3 wk ahead inc case,2020-10-03,40,quantile,0.025,2500
2020-09-14,3 wk ahead inc case,2020-10-03,41,quantile,0.025,672
2020-09-14,3 wk ahead inc case,2020-10-03,42,quantile,0.025,2102
2020-09-14,3 wk ahead inc case,2020-10-03,44,quantile,0.025,229
2020-09-14,3 wk ahead inc case,2020-10-03,45,quantile,0.025,2827
2020-09-14,3 wk ahead inc case,2020-10-03,46,quantile,0.025,615
2020-09-14,3 wk ahead inc case,2020-10-03,47,quantile,0.025,3126
2020-09-14,3 wk ahead inc case,2020-10-03,48,quantile,0.025,10765
2020-09-14,3 wk ahead inc case,2020-10-03,49,quantile,0.025,1219
2020-09-14,3 wk ahead inc case,2020-10-03,50,quantile,0.025,12
2020-09-14,3 wk ahead inc case,2020-10-03,51,quantile,0.025,3074
2020-09-14,3 wk ahead inc case,2020-10-03,53,quantile,0.025,1120
2020-09-14,3 wk ahead inc case,2020-10-03,54,quantile,0.025,611
2020-09-14,3 wk ahead inc case,2020-10-03,55,quantile,0.025,4449
2020-09-14,3 wk ahead inc case,2020-10-03,56,quantile,0.025,117
2020-09-14,3 wk ahead inc case,2020-10-03,72,quantile,0.025,653
2020-09-14,3 wk ahead inc case,2020-10-03,60,quantile,0.025,0
2020-09-14,3 wk ahead inc case,2020-10-03,66,quantile,0.025,57
2020-09-14,3 wk ahead inc case,2020-10-03,69,quantile,0.025,0
2020-09-14,3 wk ahead inc case,2020-10-03,78,quantile,0.025,2
2020-09-14,4 wk ahead inc case,2020-10-10,11,quantile,0.025,87
