forecast_date,target,target_end_date,location,type,quantile,value
2020-08-31,1 wk ahead inc death,2020-09-05,01,quantile,0.01,66
2020-08-31,1 wk ahead inc death,2020-09-05,02,quantile,0.01,2
2020-08-31,1 wk ahead inc death,2020-09-05,60,quantile,0.01,0
2020-08-31,1 wk ahead inc death,2020-09-05,04,quantile,0.01,113
2020-08-31,1 wk ahead inc death,2020-09-05,05,quantile,0.01,46
2020-08-31,1 wk ahead inc death,2020-09-05,06,quantile,0.01,473
2020-08-31,1 wk ahead inc death,2020-09-05,08,quantile,0.01,5
2020-08-31,1 wk ahead inc death,2020-09-05,09,quantile,0.01,2
2020-08-31,1 wk ahead inc death,2020-09-05,10,quantile,0.01,1
2020-08-31,1 wk ahead inc death,2020-09-05,11,quantile,0.01,0
2020-08-31,1 wk ahead inc death,2020-09-05,12,quantile,0.01,437
2020-08-31,1 wk ahead inc death,2020-09-05,13,quantile,0.01,246
2020-08-31,1 wk ahead inc death,2020-09-05,66,quantile,0.01,1
2020-08-31,1 wk ahead inc death,2020-09-05,15,quantile,0.01,7
2020-08-31,1 wk ahead inc death,2020-09-05,16,quantile,0.01,20
2020-08-31,1 wk ahead inc death,2020-09-05,17,quantile,0.01,49
2020-08-31,1 wk ahead inc death,2020-09-05,18,quantile,0.01,28
2020-08-31,1 wk ahead inc death,2020-09-05,19,quantile,0.01,40
2020-08-31,1 wk ahead inc death,2020-09-05,20,quantile,0.01,12
2020-08-31,1 wk ahead inc death,2020-09-05,21,quantile,0.01,30
2020-08-31,1 wk ahead inc death,2020-09-05,22,quantile,0.01,87
2020-08-31,1 wk ahead inc death,2020-09-05,23,quantile,0.01,0
2020-08-31,1 wk ahead inc death,2020-09-05,24,quantile,0.01,18
2020-08-31,1 wk ahead inc death,2020-09-05,25,quantile,0.01,27
2020-08-31,1 wk ahead inc death,2020-09-05,26,quantile,0.01,25
2020-08-31,1 wk ahead inc death,2020-09-05,27,quantile,0.01,23
2020-08-31,1 wk ahead inc death,2020-09-05,28,quantile,0.01,85
2020-08-31,1 wk ahead inc death,2020-09-05,29,quantile,0.01,39
2020-08-31,1 wk ahead inc death,2020-09-05,30,quantile,0.01,5
2020-08-31,1 wk ahead inc death,2020-09-05,31,quantile,0.01,6
2020-08-31,1 wk ahead inc death,2020-09-05,32,quantile,0.01,56
2020-08-31,1 wk ahead inc death,2020-09-05,33,quantile,0.01,0
2020-08-31,1 wk ahead inc death,2020-09-05,34,quantile,0.01,3
2020-08-31,1 wk ahead inc death,2020-09-05,35,quantile,0.01,11
2020-08-31,1 wk ahead inc death,2020-09-05,36,quantile,0.01,8
2020-08-31,1 wk ahead inc death,2020-09-05,37,quantile,0.01,98
2020-08-31,1 wk ahead inc death,2020-09-05,38,quantile,0.01,4
2020-08-31,1 wk ahead inc death,2020-09-05,69,quantile,0.01,0
2020-08-31,1 wk ahead inc death,2020-09-05,39,quantile,0.01,64
2020-08-31,1 wk ahead inc death,2020-09-05,40,quantile,0.01,37
2020-08-31,1 wk ahead inc death,2020-09-05,41,quantile,0.01,17
2020-08-31,1 wk ahead inc death,2020-09-05,42,quantile,0.01,31
2020-08-31,1 wk ahead inc death,2020-09-05,72,quantile,0.01,26
2020-08-31,1 wk ahead inc death,2020-09-05,44,quantile,0.01,1
2020-08-31,1 wk ahead inc death,2020-09-05,45,quantile,0.01,118
2020-08-31,1 wk ahead inc death,2020-09-05,46,quantile,0.01,3
2020-08-31,1 wk ahead inc death,2020-09-05,47,quantile,0.01,105
2020-08-31,1 wk ahead inc death,2020-09-05,48,quantile,0.01,700
2020-08-31,1 wk ahead inc death,2020-09-05,49,quantile,0.01,13
2020-08-31,1 wk ahead inc death,2020-09-05,50,quantile,0.01,0
2020-08-31,1 wk ahead inc death,2020-09-05,78,quantile,0.01,1
2020-08-31,1 wk ahead inc death,2020-09-05,51,quantile,0.01,31
2020-08-31,1 wk ahead inc death,2020-09-05,53,quantile,0.01,20
2020-08-31,1 wk ahead inc death,2020-09-05,54,quantile,0.01,12
2020-08-31,1 wk ahead inc death,2020-09-05,55,quantile,0.01,23
2020-08-31,1 wk ahead inc death,2020-09-05,56,quantile,0.01,1
2020-08-31,2 wk ahead inc death,2020-09-12,01,quantile,0.01,57
2020-08-31,2 wk ahead inc death,2020-09-12,02,quantile,0.01,1
2020-08-31,2 wk ahead inc death,2020-09-12,60,quantile,0.01,0
2020-08-31,2 wk ahead inc death,2020-09-12,04,quantile,0.01,81
2020-08-31,2 wk ahead inc death,2020-09-12,05,quantile,0.01,41
2020-08-31,2 wk ahead inc death,2020-09-12,06,quantile,0.01,405
2020-08-31,2 wk ahead inc death,2020-09-12,08,quantile,0.01,5
2020-08-31,2 wk ahead inc death,2020-09-12,09,quantile,0.01,1
