forecast_date,target,target_end_date,location,type,quantile,value
2020-12-07,1 wk ahead inc death,2020-12-12,01,quantile,0.01,122
2020-12-07,1 wk ahead inc death,2020-12-12,02,quantile,0.01,6
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.01,0
2020-12-07,1 wk ahead inc death,2020-12-12,04,quantile,0.01,175
2020-12-07,1 wk ahead inc death,2020-12-12,05,quantile,0.01,109
2020-12-07,1 wk ahead inc death,2020-12-12,06,quantile,0.01,577
2020-12-07,1 wk ahead inc death,2020-12-12,08,quantile,0.01,181
2020-12-07,1 wk ahead inc death,2020-12-12,09,quantile,0.01,89
2020-12-07,1 wk ahead inc death,2020-12-12,10,quantile,0.01,11
2020-12-07,1 wk ahead inc death,2020-12-12,11,quantile,0.01,6
2020-12-07,1 wk ahead inc death,2020-12-12,12,quantile,0.01,450
2020-12-07,1 wk ahead inc death,2020-12-12,13,quantile,0.01,191
2020-12-07,1 wk ahead inc death,2020-12-12,66,quantile,0.01,0
2020-12-07,1 wk ahead inc death,2020-12-12,15,quantile,0.01,4
2020-12-07,1 wk ahead inc death,2020-12-12,16,quantile,0.01,50
2020-12-07,1 wk ahead inc death,2020-12-12,17,quantile,0.01,717
2020-12-07,1 wk ahead inc death,2020-12-12,18,quantile,0.01,358
2020-12-07,1 wk ahead inc death,2020-12-12,19,quantile,0.01,154
2020-12-07,1 wk ahead inc death,2020-12-12,20,quantile,0.01,90
2020-12-07,1 wk ahead inc death,2020-12-12,21,quantile,0.01,99
2020-12-07,1 wk ahead inc death,2020-12-12,22,quantile,0.01,105
2020-12-07,1 wk ahead inc death,2020-12-12,23,quantile,0.01,10
2020-12-07,1 wk ahead inc death,2020-12-12,24,quantile,0.01,165
2020-12-07,1 wk ahead inc death,2020-12-12,25,quantile,0.01,204
2020-12-07,1 wk ahead inc death,2020-12-12,26,quantile,0.01,436
2020-12-07,1 wk ahead inc death,2020-12-12,27,quantile,0.01,304
2020-12-07,1 wk ahead inc death,2020-12-12,28,quantile,0.01,98
2020-12-07,1 wk ahead inc death,2020-12-12,29,quantile,0.01,170
2020-12-07,1 wk ahead inc death,2020-12-12,30,quantile,0.01,42
2020-12-07,1 wk ahead inc death,2020-12-12,31,quantile,0.01,71
2020-12-07,1 wk ahead inc death,2020-12-12,32,quantile,0.01,98
2020-12-07,1 wk ahead inc death,2020-12-12,33,quantile,0.01,13
2020-12-07,1 wk ahead inc death,2020-12-12,34,quantile,0.01,194
2020-12-07,1 wk ahead inc death,2020-12-12,35,quantile,0.01,150
2020-12-07,1 wk ahead inc death,2020-12-12,36,quantile,0.01,253
2020-12-07,1 wk ahead inc death,2020-12-12,37,quantile,0.01,186
2020-12-07,1 wk ahead inc death,2020-12-12,38,quantile,0.01,50
