forecast_date,target,target_end_date,location,type,quantile,value
2020-10-19,1 wk ahead inc case,2020-10-24,60,quantile,0.025,0
2020-10-19,1 wk ahead inc case,2020-10-24,60,quantile,0.1,0
2020-10-19,1 wk ahead inc case,2020-10-24,60,quantile,0.25,0
2020-10-19,1 wk ahead inc case,2020-10-24,60,quantile,0.5,0
2020-10-19,1 wk ahead inc case,2020-10-24,60,quantile,0.75,0
2020-10-19,1 wk ahead inc case,2020-10-24,60,quantile,0.9,0
2020-10-19,1 wk ahead inc case,2020-10-24,60,quantile,0.975,0
2020-10-19,2 wk ahead inc case,2020-10-31,60,quantile,0.025,0
2020-10-19,2 wk ahead inc case,2020-10-31,60,quantile,0.1,0
2020-10-19,2 wk ahead inc case,2020-10-31,60,quantile,0.25,0
2020-10-19,2 wk ahead inc case,2020-10-31,60,quantile,0.5,0
2020-10-19,2 wk ahead inc case,2020-10-31,60,quantile,0.75,0
2020-10-19,2 wk ahead inc case,2020-10-31,60,quantile,0.9,0
2020-10-19,2 wk ahead inc case,2020-10-31,60,quantile,0.975,0
2020-10-19,3 wk ahead inc case,2020-11-07,60,quantile,0.025,0
2020-10-19,3 wk ahead inc case,2020-11-07,60,quantile,0.1,0
2020-10-19,3 wk ahead inc case,2020-11-07,60,quantile,0.25,0
2020-10-19,3 wk ahead inc case,2020-11-07,60,quantile,0.5,0
2020-10-19,3 wk ahead inc case,2020-11-07,60,quantile,0.75,0
2020-10-19,3 wk ahead inc case,2020-11-07,60,quantile,0.9,0
2020-10-19,3 wk ahead inc case,2020-11-07,60,quantile,0.975,0
2020-10-19,4 wk ahead inc case,2020-11-14,60,quantile,0.025,0
2020-10-19,4 wk ahead inc case,2020-11-14,60,quantile,0.1,0
2020-10-19,4 wk ahead inc case,2020-11-14,60,quantile,0.25,0
2020-10-19,4 wk ahead inc case,2020-11-14,60,quantile,0.5,0
2020-10-19,4 wk ahead inc case,2020-11-14,60,quantile,0.75,0
2020-10-19,4 wk ahead inc case,2020-11-14,60,quantile,0.9,0
2020-10-19,4 wk ahead inc case,2020-11-14,60,quantile,0.975,0
2020-10-19,1 wk ahead inc case,2020-10-24,66,quantile,0.025,367
2020-10-19,1 wk ahead inc case,2020-10-24,66,quantile,0.1,456
2020-10-19,1 wk ahead inc case,2020-10-24,66,quantile,0.25,484
2020-10-19,1 wk ahead inc case,2020-10-24,66,quantile,0.5,545
2020-10-19,1 wk ahead inc case,2020-10-24,66,quantile,0.75,584
2020-10-19,1 wk ahead inc case,2020-10-24,66,quantile,0.9,634
2020-10-19,1 wk ahead inc case,2020-10-24,66,quantile,0.975,723
2020-10-19,1 wk ahead inc case,2020-10-24,69,quantile,0.025,0
2020-10-19,1 wk ahead inc case,2020-10-24,69,quantile,0.1,3
2020-10-19,1 wk ahead inc case,2020-10-24,69,quantile,0.25,5
2020-10-19,1 wk ahead inc case,2020-10-24,69,quantile,0.5,8
2020-10-19,1 wk ahead inc case,2020-10-24,69,quantile,0.75,11
2020-10-19,1 wk ahead inc case,2020-10-24,69,quantile,0.9,13
2020-10-19,1 wk ahead inc case,2020-10-24,69,quantile,0.975,15
2020-10-19,2 wk ahead inc case,2020-10-31,66,quantile,0.025,277
2020-10-19,2 wk ahead inc case,2020-10-31,66,quantile,0.1,368
2020-10-19,2 wk ahead inc case,2020-10-31,66,quantile,0.25,465
2020-10-19,2 wk ahead inc case,2020-10-31,66,quantile,0.5,526
2020-10-19,2 wk ahead inc case,2020-10-31,66,quantile,0.75,615
2020-10-19,2 wk ahead inc case,2020-10-31,66,quantile,0.9,689
2020-10-19,2 wk ahead inc case,2020-10-31,66,quantile,0.975,765
2020-10-19,2 wk ahead inc case,2020-10-31,69,quantile,0.025,0
2020-10-19,2 wk ahead inc case,2020-10-31,69,quantile,0.1,0
2020-10-19,2 wk ahead inc case,2020-10-31,69,quantile,0.25,3
2020-10-19,2 wk ahead inc case,2020-10-31,69,quantile,0.5,6
2020-10-19,2 wk ahead inc case,2020-10-31,69,quantile,0.75,12
2020-10-19,2 wk ahead inc case,2020-10-31,69,quantile,0.9,15
2020-10-19,2 wk ahead inc case,2020-10-31,69,quantile,0.975,16
2020-10-19,3 wk ahead inc case,2020-11-07,66,quantile,0.025,221
2020-10-19,3 wk ahead inc case,2020-11-07,66,quantile,0.1,349
2020-10-19,3 wk ahead inc case,2020-11-07,66,quantile,0.25,431
2020-10-19,3 wk ahead inc case,2020-11-07,66,quantile,0.5,523
2020-10-19,3 wk ahead inc case,2020-11-07,66,quantile,0.75,613
2020-10-19,3 wk ahead inc case,2020-11-07,66,quantile,0.9,721
2020-10-19,3 wk ahead inc case,2020-11-07,66,quantile,0.975,797
2020-10-19,3 wk ahead inc case,2020-11-07,69,quantile,0.025,0
2020-10-19,3 wk ahead inc case,2020-11-07,69,quantile,0.1,0
2020-10-19,3 wk ahead inc case,2020-11-07,69,quantile,0.25,2
2020-10-19,3 wk ahead inc case,2020-11-07,69,quantile,0.5,8
2020-10-19,3 wk ahead inc case,2020-11-07,69,quantile,0.75,13
2020-10-19,3 wk ahead inc case,2020-11-07,69,quantile,0.9,15
2020-10-19,3 wk ahead inc case,2020-11-07,69,quantile,0.975,15
2020-10-19,4 wk ahead inc case,2020-11-14,66,quantile,0.025,211
2020-10-19,4 wk ahead inc case,2020-11-14,66,quantile,0.1,337
2020-10-19,4 wk ahead inc case,2020-11-14,66,quantile,0.25,422
2020-10-19,4 wk ahead inc case,2020-11-14,66,quantile,0.5,515
2020-10-19,4 wk ahead inc case,2020-11-14,66,quantile,0.75,642
2020-10-19,4 wk ahead inc case,2020-11-14,66,quantile,0.9,735
2020-10-19,4 wk ahead inc case,2020-11-14,66,quantile,0.975,837
2020-10-19,4 wk ahead inc case,2020-11-14,69,quantile,0.025,0
2020-10-19,4 wk ahead inc case,2020-11-14,69,quantile,0.1,0
2020-10-19,4 wk ahead inc case,2020-11-14,69,quantile,0.25,1
2020-10-19,4 wk ahead inc case,2020-11-14,69,quantile,0.5,7
2020-10-19,4 wk ahead inc case,2020-11-14,69,quantile,0.75,13
2020-10-19,4 wk ahead inc case,2020-11-14,69,quantile,0.9,14
2020-10-19,4 wk ahead inc case,2020-11-14,69,quantile,0.975,14
2020-10-19,1 wk ahead inc case,2020-10-24,78,quantile,0.025,0
2020-10-19,1 wk ahead inc case,2020-10-24,78,quantile,0.1,0
2020-10-19,1 wk ahead inc case,2020-10-24,78,quantile,0.25,1
2020-10-19,1 wk ahead inc case,2020-10-24,78,quantile,0.5,5
2020-10-19,1 wk ahead inc case,2020-10-24,78,quantile,0.75,10
2020-10-19,1 wk ahead inc case,2020-10-24,78,quantile,0.9,16
2020-10-19,1 wk ahead inc case,2020-10-24,78,quantile,0.975,41
