quantile,model,weight,location
0.01,COVIDhub-baseline,0.014826241659090272,01
0.01,COVIDhub-baseline,0.014826241659090272,02
0.01,COVIDhub-baseline,0.014826241659090272,60
0.01,COVIDhub-baseline,0.014826241659090272,04
0.01,COVIDhub-baseline,0.014826241659090272,05
0.01,COVIDhub-baseline,0.014826241659090272,06
0.01,COVIDhub-baseline,0.014826241659090272,08
0.01,COVIDhub-baseline,0.014826241659090272,09
0.01,COVIDhub-baseline,0.014826241659090272,10
0.01,COVIDhub-baseline,0.014826241659090272,11
0.01,COVIDhub-baseline,0.014826241659090272,12
0.01,COVIDhub-baseline,0.014826241659090272,13
0.01,COVIDhub-baseline,0.014826241659090272,66
0.01,COVIDhub-baseline,0.014826241659090272,15
0.01,COVIDhub-baseline,0.014826241659090272,16
0.01,COVIDhub-baseline,0.014826241659090272,17
0.01,COVIDhub-baseline,0.014826241659090272,18
0.01,COVIDhub-baseline,0.014826241659090272,19
0.01,COVIDhub-baseline,0.014826241659090272,20
0.01,COVIDhub-baseline,0.014826241659090272,21
0.01,COVIDhub-baseline,0.014826241659090272,22
0.01,COVIDhub-baseline,0.014826241659090272,23
0.01,COVIDhub-baseline,0.014826241659090272,24
0.01,COVIDhub-baseline,0.014826241659090272,25
0.01,COVIDhub-baseline,0.014826241659090272,26
0.01,COVIDhub-baseline,0.014826241659090272,27
0.01,COVIDhub-baseline,0.014826241659090272,28
0.01,COVIDhub-baseline,0.014826241659090272,29
0.01,COVIDhub-baseline,0.014826241659090272,30
0.01,COVIDhub-baseline,0.014826241659090272,31
0.01,COVIDhub-baseline,0.014826241659090272,32
0.01,COVIDhub-baseline,0.014826241659090272,33
0.01,COVIDhub-baseline,0.014826241659090272,34
0.01,COVIDhub-baseline,0.014826241659090272,35
0.01,COVIDhub-baseline,0.014826241659090272,36
0.01,COVIDhub-baseline,0.014826241659090272,37
0.01,COVIDhub-baseline,0.014826241659090272,38
0.01,COVIDhub-baseline,0.014826241659090272,69
0.01,COVIDhub-baseline,0.014826241659090272,39
0.01,COVIDhub-baseline,0.014826241659090272,40
0.01,COVIDhub-baseline,0.014826241659090272,41
0.01,COVIDhub-baseline,0.014826241659090272,42
0.01,COVIDhub-baseline,0.014826241659090272,72
0.01,COVIDhub-baseline,0.014826241659090272,44
0.01,COVIDhub-baseline,0.014826241659090272,45
0.01,COVIDhub-baseline,0.014826241659090272,46
0.01,COVIDhub-baseline,0.014826241659090272,47
0.01,COVIDhub-baseline,0.014826241659090272,48
0.01,COVIDhub-baseline,0.014826241659090272,49
0.01,COVIDhub-baseline,0.014826241659090272,50
0.01,COVIDhub-baseline,0.014826241659090272,78
0.01,COVIDhub-baseline,0.014826241659090272,51
0.01,COVIDhub-baseline,0.014826241659090272,53
